system,n_orbit_options,partition,L_orbit,top_a,top_e,top_i,top_o,top_O,top_M0,ranking,incl_group
9,,"[0, 1, 2], [3, 7, 8], [4, 5, 6]]",1.4629922999999998e-05,0.8759701310023164,0.094588259,1.0024236801657467,-2.901751741,-2.097309447,-2.000985447,1,med
9,,"[0, 1, 2], [3, 7, 8], [4, 5, 6]]",0.032423842499051996,3.4254959070034587,0.095195657,1.088923695,2.048753427,-1.202772565,-3.455755712,1,med
10,1,"[[0, 1, 2], [3, 4, 5], [6, 7, 8]]",0.003419334,3.8966889980977015,0.084070811,1.0316548605945215,3.047389753,0.784814529,-1.555083916,0,med
10,1,"[[0, 1, 2], [3, 4, 5], [6, 7, 8]]",0.00497268,1.6218124916846641,0.052145089,1.0481104166813529,-5.384007092,-2.327129049,0.9939086471951604,0,med
10,4,"[[0, 1, 2], [3, 4, 5], [6, 7, 8]]",0.001014976,0.5450992112850566,0.082073815,1.0642170967422806,5.288107158975361,0.8660872212327557,-10.73647241,0,med
10,1,"[[0, 1, 2], [3, 5, 7], [4, 6, 8]]",0.002473771,3.8966889980977015,0.084070811,1.0316548605945215,3.047389753,0.784814529,-1.555083916,1,med
10,2,"[[0, 1, 2], [3, 5, 7], [4, 6, 8]]",0.009212102,0.8376034277076819,0.089690827,1.8747591483313149,0.1340808501351951,-0.036368276,-0.38182975,1,med
10,1,"[[0, 1, 2], [3, 5, 7], [4, 6, 8]]",3.2675999999999956e-11,6.020223058252241,0.097057105,1.5853419369458355,-4.670573918,-2.038870008,2.750413866266482,1,med
1,1,"[[0, 1, 2], [3, 4, 5], [6, 7, 8]]",0.022047211386969995,4.403671845070798,0.088568868,1.4059342522570195,0.827740508,0.8214564819144478,1.406098400369765,1,high
1,1,"[[0, 1, 2], [3, 4, 5], [6, 7, 8]]",0.002638196,2.417657464621246,0.098312289,1.3891078370131844,-4.956006485,0.8496043962580323,1.5641615060979324,1,high
1,1,"[[0, 1, 2], [3, 4, 5], [6, 7, 8]]",0.004185714,2.8623774517531118,0.064111868,1.401862674252679,-2.620445147,0.8414443851043927,-0.451296306,1,high
