system,n_orbit_options,xyzs,planet,a,e,i,o,O,M0,incl_group
9,,"[[0.3253707623590112, -0.01846572086707421, 0.6413252102024368], [0.30205446117779444, -0.5966673560127613, 0.186050452340919], [-0.12198690096494577, -0.4960198458996769, -0.489301645582468]]",1,0.7178286026140865,0.036309655,1.11701,6.142377775210468,5.041612717823303,1.5308260018438913,med
9,,"[[-0.5932745336031655, -0.4731174950074551, -1.4911128127966076], [0.536307480205444, -1.4686588405094725, 0.12553108039449198], [0.5728791719657587, 0.37449409123405586, 1.4374731356268093]]",2,1.6465589232222722,0.035497055,1.11701,0.8014189448918305,5.041612717823303,4.127751587634154,med
9,,"[[-1.3040138778285277, -1.3857328595171836, -3.377126749446416], [-0.541722615363871, -2.5565948160096457, -2.684044681735401], [0.3550279672112094, -3.2638694816053397, -1.4995732883209552]]",3,3.7155202614788982,0.074283026,1.11701,0.8605044398801108,5.041612717823303,4.210773824166696,med
10,,"[[-0.6896935500650908, 2.109724383272793, 3.170386845421012], [-1.8070436120506561, 0.9406365863109369, 3.2869635514925366], [-2.583124985195678, -0.3237668849211187, 2.8505920955652253]]",1,3.850218252961562,0.010285833,1.02974,5.947584835837536,0.8404221076322321,1.6028592018140648,med
10,,"[[0.9599287678587883, -0.08623768404753236, -1.2877748147568617], [0.8586477930380166, 1.3471202021969615, 0.4427254542396931], [-0.874622796689364, 0.3145918402558236, 1.3823426000776413]]",2,1.6295557548939317,0.015661991,1.02974,4.811765001029553,0.8404221076322321,0.2519960359159148,med
10,,"[[0.026595470838082124, 0.3628532097191412, 0.38363913780779557], [-0.42527920717048834, -0.27434637299364345, 0.22065430707066028], [0.027548609771455967, -0.30247762451626325, -0.42356533176756134]]",3,0.5375456487722277,0.013313138,1.02974,5.828031076039552,0.8404221076322321,1.4154396948003003,med
1,,"[[-2.567049120065692, -2.0605921138695953, -3.5743124515588915], [-3.043030125825542, -2.8416871153131886, -2.5308503259041], [-3.1797229807376497, -3.331071546608993, -1.268906061905203]]",1,4.615822660444791,0.050102258,1.39626,2.3896630391056095,3.9997341918898046,3.037191084925631,high
1,,"[[-1.6412832029774476, -1.8023525438025434, -0.21844822059454774], [-1.0513400848670225, -1.6985028349505553, 1.6067457593136796], [0.04871188276239082, -0.6324523265254391, 2.5634412342338826]]",2,2.462264277245404,0.072877959,1.39626,4.610527492216533,3.9997341918898046,1.436332821154692,high
1,,"[[-1.7856092551409375, -2.018237887734808, -0.16926123655927924], [-1.0983501674212341, -1.667159113575306, 1.6419356718262574], [0.16485218991089942, -0.5186417399238792, 2.590962457282447]]",3,2.8634324981534824,0.08864616,1.39626,0.873442438,3.9997341918898046,5.4833510985815375,high
2,,"[[-1.2608097831320964, 0.4099960859143979, -0.139714471167611], [0.45141417426633207, -0.263718955816015, -1.2319221188204335], [0.6523346651937026, -0.11416927238221783, 1.063425904377172]]",1,1.324662030406731,0.052902079,1.48353,0.8942886036117484,5.956377183475464,2.2722765323654923,high
2,,"[[0.8899448406177428, -0.3211763516284484, -0.027450132387402564], [-0.8759839169989729, 0.2682674194928721, -0.30344499223290666], [0.7355752859186165, -0.17598421735171232, 0.5201629047737996]]",2,0.9406604641627448,0.029828331,1.48353,0.5716084983336368,5.956377183475464,5.714683724530217,high
2,,"[[-2.2150486014103103, 0.6249193027680866, -1.3560048277222492], [-0.9313986867224366, 0.07983669241735648, -2.562301637126198], [0.7702170110128563, -0.4698458440240085, -2.568725586389384]]",3,2.631802498,0.040775683,1.48353,1.684006603,5.956377183475464,1.9167628528598355,high
